Time[s],0,2,4,6
43.4,-29.66666667,-24.66666667,-28.33333333,-29
43.5,-29.66666667,-24.66666667,-30,-28.66666667
43.6,-29.66666667,-23.66666667,-28.66666667,-29
43.7,-30.33333333,-24,-28.33333333,-28.66666667
43.8,-29.66666667,-23.66666667,-28.33333333,-29
43.9,-30.66666667,-24,-28,-29.66666667
44,-29.66666667,-24,-28,-28.66666667
44.1,-30,-23.66666667,-28.33333333,-30.33333333
44.2,-29.33333333,-25.33333333,-28.33333333,-31.33333333
44.3,-31,-23.66666667,-28.33333333,-29
44.4,-30.66666667,-23.66666667,-29.33333333,-29.33333333
44.5,-29.66666667,-23.66666667,-28,-29.66666667
44.6,-31,-24.33333333,-28,-30
44.7,-29.33333333,-24.33333333,-29.66666667,-29
44.8,-29.33333333,-24.33333333,-30,-29.66666667
44.9,-31,-24.33333333,-27,-29
45,-29,-24.33333333,-29.33333333,-29.33333333
45.1,-30.33333333,-23,-28.66666667,-29.33333333
45.2,-30,-23.33333333,-28.66666667,-30
45.3,-28.33333333,-25.33333333,-28.33333333,-30
45.4,-30,-23.66666667,-29.66666667,-31
45.5,-31.33333333,-24.33333333,-28.33333333,-30.33333333
45.6,-29.33333333,-24.66666667,-28.33333333,-29
45.7,-30,-23,-29.66666667,-29.66666667
45.8,-29.33333333,-24.33333333,-29.33333333,-29.33333333
45.9,-30.33333333,-25.66666667,-29,-28.66666667
46,-29.33333333,-24.33333333,-29.33333333,-29.66666667
46.1,-30.66666667,-25.66666667,-28,-30
46.2,-30,-24,-27.66666667,-29.66666667
46.3,-29,-24,-28.33333333,-30.33333333
46.4,-30,-23.66666667,-29.66666667,-29
46.5,-30.66666667,-25.66666667,-28,-31
46.6,-30,-23.66666667,-28.33333333,-29
46.7,-30.66666667,-24,-29.66666667,-30.33333333
46.8,-30.66666667,-24.66666667,-28.33333333,-28.33333333
46.9,-30,-25,-29.66666667,-29
47,-29.66666667,-24,-30.33333333,-29.33333333
47.1,-32,-24.33333333,-28.33333333,-30.66666667
47.2,-29.66666667,-24,-29,-29.33333333
47.3,-30,-24.66666667,-29.66666667,-28.66666667
47.4,-29.33333333,-23.66666667,-28,-30
47.5,-29,-25.33333333,-29,-29.33333333
47.6,-30.33333333,-24,-29,-29.33333333
47.7,-31,-24,-29.33333333,-30.66666667
47.8,-30.33333333,-25.33333333,-28.33333333,-29.33333333
47.9,-29.33333333,-24,-30,-29.66666667
48,-29.66666667,-25,-28,-29.66666667
48.1,-29.66666667,-24.66666667,-28.33333333,-30
48.2,-30,-23.33333333,-29.66666667,-31
48.3,-30.33333333,-23.33333333,-29.66666667,-31
48.4,-29,-24.33333333,-28.33333333,-29
48.5,-29.66666667,-23.66666667,-28,-29.33333333
48.6,-29,-23.66666667,-29.66666667,-30.66666667
48.7,-29,-23.66666667,-30.33333333,-29.33333333
48.8,-29,-24.33333333,-29,-29.33333333
48.9,-30.33333333,-23.66666667,-29,-29.66666667
49,-29.66666667,-24,-29,-31
49.1,-30.66666667,-24.33333333,-28.33333333,-30
49.2,-30,-25.33333333,-29,-29.33333333
49.3,-31.33333333,-23.66666667,-28.33333333,-30.66666667
49.4,-29.66666667,-24.33333333,-28.66666667,-29.66666667
49.5,-29,-24.66666667,-29.66666667,-30.66666667
49.6,-29.66666667,-24,-28.66666667,-30.33333333
49.7,-29.66666667,-24.66666667,-28.66666667,-30.66666667
49.8,-29.66666667,-25.66666667,-29.33333333,-31.66666667
49.9,-30,-24,-30.66666667,-31
50,-29.66666667,-24.33333333,-27.33333333,-29
50.1,-28.66666667,-25,-28.66666667,-30.66666667
50.2,-30,-25,-29.66666667,-29.66666667
50.3,-29.33333333,-24,-28.66666667,-31.66666667
50.4,-29.66666667,-24.66666667,-29.66666667,-29.66666667
50.5,-29.33333333,-24.66666667,-28.33333333,-30.66666667
50.6,-30.66666667,-24,-28,-30
50.7,-30.66666667,-24.66666667,-29.66666667,-29.66666667
50.8,-29.33333333,-24,-28.66666667,-30.66666667
50.9,-29.66666667,-24.33333333,-28,-29.66666667
51,-29.33333333,-26,-29.66666667,-28.33333333
51.1,-31,-24,-29,-29
51.2,-30.33333333,-26,-30,-30.33333333
51.3,-30.33333333,-24,-28,-30.66666667
51.4,-30.33333333,-23,-28.66666667,-29
51.5,-29.33333333,-24.33333333,-30,-29.66666667
51.6,-31.33333333,-23.66666667,-28,-30.33333333
51.7,-29.66666667,-24.33333333,-28.66666667,-29.66666667
51.8,-29.33333333,-24.66666667,-30,-29.33333333
51.9,-29.33333333,-24.33333333,-28.66666667,-29.66666667
52,-31,-24.66666667,-29.33333333,-28
52.1,-30,-24,-30.33333333,-29.33333333
52.2,-30.66666667,-24,-27.66666667,-30.66666667
52.3,-29.66666667,-23.66666667,-29.33333333,-29.66666667
52.4,-30,-24.33333333,-30.66666667,-29
52.5,-29.66666667,-25.66666667,-28.33333333,-30.33333333
52.6,-30,-24.66666667,-30,-29.66666667
52.7,-29.66666667,-24.33333333,-29.66666667,-29.66666667
52.8,-30,-23.66666667,-28.66666667,-30
52.9,-29.33333333,-24.66666667,-29.33333333,-29.33333333
53,-29,-24.66666667,-29.66666667,-31
53.1,-31,-24.66666667,-29,-30.33333333
53.2,-30.33333333,-25,-28.66666667,-30.33333333
53.3,-29,-25.66666667,-29,-29.33333333
53.4,-29,-25,-29.66666667,-30.66666667
53.5,-30.66666667,-24.66666667,-27.66666667,-29.33333333
53.6,-30,-25,-29.33333333,-29.33333333
53.7,-28.66666667,-24.66666667,-29,-30.66666667
53.8,-29.66666667,-25,-29.33333333,-29.33333333
53.9,-30.66666667,-25.33333333,-29,-29.33333333
54,-29,-23.66666667,-29.66666667,-30
54.1,-30,-24.66666667,-29,-31
54.2,-29.33333333,-24.33333333,-28.66666667,-30.66666667
54.3,-29.66666667,-24.66666667,-29,-30.33333333
54.4,-30.33333333,-25.66666667,-29,-30.66666667
54.5,-29.33333333,-25,-29,-29
54.6,-30.33333333,-25.33333333,-29.33333333,-30
