x,z
316.25,2.103146612
316.5,2.02865543
316.75,2.019261468
317,2.048470819
317.25,2.077606779
317.5,2.089496012
317.75,2.101311854
318,2.118705362
318.25,2.10938479
318.5,2.089789573
318.75,2.063956178
319,2.046782841
319.25,2.027994917
319.5,2.010821581
319.75,2.00854648
320,2.00627138
320.25,2.028361869
320.5,2.042526202
320.75,2.048103867
321,2.05991971
321.25,2.071808943
321.5,2.071882333
321.75,2.046048938
322,2.014637878
322.25,1.998198444
322.5,1.998271835
322.75,1.995923344
323,2.029829675
323.25,2.075331678
323.5,2.08010205
323.75,2.092798576
324,2.102192538
324.25,2.095220457
324.5,2.082670711
324.75,2.045021473
325,2.011335313
325.25,2.011408703
325.5,2.009060213
325.75,2.004363232
326,2.009133603
326.25,2.018527565
326.5,2.038269563
326.75,2.050012015
327,2.059479368
327.25,2.072102504
327.5,2.081569856
327.75,2.062708542
328,2.036067853
328.25,2.02197691
328.5,2.024325401
328.75,2.053461361
329,2.060506832
329.25,2.053534751
329.5,2.024472181
329.75,2.01742671
330,2.01515161
330.25,2.005757648
330.5,1.996363686
330.75,1.986235821
331,1.996437076
331.25,2.049131332
331.5,2.056176803
331.75,2.053828312
332,2.057057487
332.25,2.064102958
332.5,2.06894672
332.75,2.047736915
333,2.03760905
333.25,2.059626148
333.5,2.073790482
333.75,2.069093501
334,2.038563124
334.25,2.040985005
334.5,2.031591043
334.75,2.026160159
335,2.031737824
335.25,2.070341136
335.5,2.08912906
335.75,2.075111507
336,2.046122328
336.25,2.007739187
336.5,1.998418615
336.75,2.08017544
337,2.097495557
337.25,2.10938479
337.5,2.092945357
337.75,2.068653159
338,2.054635606
338.25,2.038196173
338.5,2.025793207
338.75,2.031370872
339,2.050305577
339.25,2.055149338
339.5,2.045828767
339.75,2.036581586
340,2.029609504
